Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,CHN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.08361253,33.25847465,32.93127023,31.67779036,31.24948254,29.47209157,30.53726145,30.11538011,29.86466077,30.69969467,30.25100348,29.6982601,28.50840722,25.81461801,22.51170354,20.78039657,19.66486574,18.62374161,18.4713925,18.16040829,17.41382877,16.3865906,16.82680199,16.89618253,17.09945969,,,
Cote d'Ivoire,CIV,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.58235194,74.01566451,74.55873756,75.12671807,75.60651723,74.88259695,74.04171526,72.13516923,73.44727209,61.93087379,63.71597064,64.72616043,65.32071707,70.31968857,75.51892107,78.06972037,74.91403018,76.44510676,74.31725807,73.67295133,75.49375173,79.56930641,74.90457222,72.02735641,70.83529197,,,
Cameroon,CMR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.59313345,83.18957208,84.43450242,83.93662636,83.60940916,84.47741886,84.93782878,84.57695221,84.37656952,86.12990903,84.48262099,85.19562464,84.72581871,84.76299682,84.98845387,85.7717979,85.42501627,80.71357625,80.7141257,79.09347134,78.60423834,78.5554783,78.14272111,77.51263709,77.38821693,,,
"Congo, Dem. Rep.",COD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.04773573,95.13882329,95.87522677,96.11327789,96.60913282,96.89568468,96.96159098,97.05855113,96.8499779,96.99702637,97.93995343,98.34260901,98.27002794,97.97167493,97.88227733,97.42186396,97.33285829,97.17172653,96.96544209,97.01888945,96.82782087,96.24516954,95.52835409,94.01224273,92.87131242,,,
"Congo, Rep.",COG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.41379865,64.56268192,67.60288194,68.41275314,76.47094529,69.79576455,75.40966946,80.15293481,79.73477569,76.95471784,64.85333727,61.17510239,68.62921416,62.2114158,63.24140215,63.49458498,69.69289619,60.67788437,57.21898398,56.38771535,55.14975643,64.94712572,65.51148966,62.68743092,62.3685091,,,
Colombia,COL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2511929,37.00122606,33.2275351,33.20478564,33.97223819,33.6999012,33.7754002,25.80034448,25.93867988,29.13546696,28.02565811,27.2294956,28.78664553,30.68582144,29.16460796,28.72561886,28.9802234,29.66093115,28.95924046,29.55460943,27.93153355,26.78103797,26.64429522,24.47229805,24.5170199,,,
Comoros,COM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.83857287,50.7126632,50.24473166,49.95204688,59.95918907,59.54348541,60.80217752,59.78109994,49.96133017,49.59408948,48.25216471,47.9525417,48.44575912,42.86829198,41.83581919,44.28194535,43.37190446,50.1093576,50.94784725,49.81909614,46.40800256,47.7939502,48.00765829,44.08142936,46.49399305,,,
Cabo Verde,CPV,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.63404152,38.08533877,37.96103481,39.48194451,40.41188841,39.07864471,36.16141198,36.57976028,35.25364028,31.17120655,28.97823783,28.18494646,27.86178814,35.25027456,33.96054457,26.61267366,25.07136176,24.96403758,27.61190518,26.16168034,21.73605678,21.62045395,24.4038902,26.12546485,26.19641579,,,
Costa Rica,CRI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.38078395,44.68946688,35.02787192,36.25917825,35.80152848,34.97356962,36.65422323,33.56391057,28.89050607,29.89050344,32.94784138,32.10903103,32.65262935,33.65981993,39.49662734,42.06059846,42.26487666,42.84338068,43.13020203,42.26680742,42.31125122,40.50212169,38.62385726,38.47938382,37.86890976,,,
Caribbean small states,CSS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.12275455,9.898682076,11.33440864,12.82547178,11.67631924,12.06760942,11.8714558,11.48976741,10.39614211,10.78352303,13.18334905,11.60802495,12.3038221,11.9947943,11.6626897,10.31375237,10.1527769,8.45528566,8.731510346,9.6024873,9.117122727,9.704090204,9.427274132,8.722676243,8.534481249,,,
